Read 1000 bodies from file dataset_2d/bodies_2d_1000.csv
Using 4 MPI processes
Using Euler integration method

Initial state:
ID	Mass		Pos_X		Pos_Y		Vel_X		Vel_Y
---------------------------------------------------------------
0	18.36		57.82		97.31		-5.27		-0.15
1	90.21		-81.67		21.83		-4.94		7.11
2	21.74		-21.91		95.62		-7.06		5.88
3	75.37		-52.50		40.43		0.26		-0.96
4	44.69		74.07		62.57		-9.50		-4.00
5	30.68		-82.05		99.79		-3.02		-2.36
6	95.33		-25.21		33.12		5.46		-7.17
7	59.40		44.42		-62.33		-8.29		-4.91
8	24.28		54.00		-40.37		-3.87		6.74
9	17.20		37.18		87.09		-2.04		7.38
10	38.47		93.18		-92.69		8.05		2.62
11	39.56		29.40		70.01		6.79		3.45
12	51.01		-81.23		50.65		-1.36		-6.48
13	62.27		-84.83		52.18		-4.68		9.73
14	83.59		-55.33		99.85		-7.83		7.43
15	50.29		73.42		28.26		8.08		7.31
16	88.71		13.30		-57.31		4.87		-4.84
17	25.90		-55.77		-91.88		4.48		4.64
18	87.91		-14.77		-19.86		-7.59		-6.21
19	42.05		-70.63		23.37		-4.76		-9.77
20	81.88		-42.35		46.30		-6.80		-4.57
21	98.30		-91.53		-32.87		8.20		-9.60
22	77.14		-11.55		-94.44		-1.82		8.74
23	39.54		-40.94		61.04		1.00		9.88
24	83.95		60.78		-4.65		-1.73		-6.62
25	62.80		92.57		-17.58		-6.33		5.31
26	34.93		50.49		-10.37		6.06		-5.24
27	64.14		96.79		-48.67		4.32		4.75
28	19.59		-13.80		-31.87		-3.23		-1.71
29	26.24		39.95		70.00		5.21		0.45
30	92.03		-29.09		-92.17		-2.25		8.25
31	68.64		10.70		65.18		7.16		2.57
32	49.33		-23.65		-77.05		-5.33		9.40
33	10.42		-15.23		39.45		-8.89		1.25
34	38.04		18.41		0.83		-7.53		2.69
35	48.11		-92.05		-44.75		-1.20		8.57
36	58.50		73.79		78.67		9.51		5.74
37	13.05		-98.49		-29.30		1.60		5.52
38	57.03		27.41		-37.28		-0.82		8.12
39	80.71		-68.60		74.27		1.68		0.37
40	98.08		94.67		-48.91		8.41		5.37
41	60.56		-62.88		-27.20		-1.29		-4.88
42	57.19		-1.71		9.80		5.55		3.84
